dimension,category,issue_type,severity,case_count,mean_max_ratio,total_penalty,single_round_rate
local_graphics_and_nodes,vector_and_icon_confusion,malformed_icon,medium,251,0.7938247011952193,867.81,0.7290836653386454
text_and_typography,improper_typography,font_weight,medium,252,0.725555555555556,843.8499999999999,0.4603174603174603
text_and_typography,spelling_and_omission,subscript,high,138,0.5713768115942025,831.0,0.6086956521739131
text_and_typography,improper_typography,font_family,medium,227,0.8376211453744492,805.9,0.42731277533039647
local_graphics_and_nodes,node_shape_error,node_corner_radius,low,692,0.8070086705202305,804.2500000000001,0.3945086705202312
text_and_typography,text_overflow_or_edge_touch,insufficient_text_padding,medium,254,0.3563385826771654,691.7499999999998,0.8188976377952756
text_and_typography,text_overflow_or_edge_touch,text_icon_overlap,high,131,0.31305343511450373,670.5,0.4961832061068702
layout_and_composition,panel_style_error,panel_corner_radius,low,539,0.9520964749536179,662.5,0.3692022263450835
layout_and_composition,panel_misalignment,panel_spacing,medium,185,0.8524324324324325,660.75,0.6702702702702703
local_graphics_and_nodes,node_style_error,node_stroke,low,505,0.9205940594059405,614.95,0.5465346534653466
local_graphics_and_nodes,vector_and_icon_confusion,distorted_icon,medium,177,0.7659322033898306,602.29,0.8192090395480226
local_graphics_and_nodes,node_style_error,palette_mapping,low,476,0.903046218487395,581.62,0.6911764705882353
local_graphics_and_nodes,vector_and_icon_confusion,other_local_graphic,medium,156,0.8553205128205129,554.26,0.7692307692307693
local_graphics_and_nodes,line_and_arrow_details,line_color,low,470,0.805212765957447,540.9400000000002,0.5680851063829787
text_and_typography,improper_typography,math_typesetting,medium,160,0.6769375,525.8299999999999,0.775
layout_and_composition,panel_style_error,panel_fill,low,424,0.9351650943396228,520.25,0.4033018867924528
text_and_typography,spelling_and_omission,substituted_text,high,122,0.14786885245901624,510.0,0.680327868852459
local_graphics_and_nodes,line_and_arrow_details,arrowhead_shape,medium,142,0.8135915492957746,493.53999999999996,0.6901408450704225
text_and_typography,spelling_and_omission,missing_text,high,112,0.19741071428571413,488.25,0.6517857142857143
layout_and_composition,node_layout_deviation,node_position,medium,147,0.5223129251700679,442.9699999999999,0.8163265306122449
layout_and_composition,panel_style_error,panel_border_color,low,337,0.9608605341246289,417.25,0.5044510385756676
local_graphics_and_nodes,line_and_arrow_details,arrowhead_size,low,334,0.8861077844311377,399.20000000000005,0.6497005988023952
layout_and_composition,panel_style_error,panel_outer_frame,low,305,0.9793114754098362,378.0,0.43934426229508194
layout_and_composition,node_layout_deviation,padding,medium,111,0.7246846846846848,370.53,0.8198198198198198
layout_and_composition,panel_misalignment,panel_proportion,medium,111,0.7000000000000001,370.13,0.5945945945945946
local_graphics_and_nodes,vector_and_icon_confusion,mini_diagram_topology,medium,106,0.7302830188679245,361.51,0.660377358490566
layout_and_composition,node_layout_deviation,node_overlap,high,65,0.4232307692307693,360.75,0.7076923076923077
local_graphics_and_nodes,node_shape_error,shape_type,medium,117,0.5888888888888889,360.44999999999993,0.5299145299145299
local_graphics_and_nodes,vector_and_icon_confusion,legend_symbol,medium,104,0.7936538461538463,358.51,0.7403846153846154
local_graphics_and_nodes,line_and_arrow_details,line_width,low,292,0.9188013698630135,354.72,0.6335616438356164
text_and_typography,text_overflow_or_edge_touch,text_arrowhead_overlap,high,69,0.30217391304347824,348.0,0.7246376811594203
local_graphics_and_nodes,vector_and_icon_confusion,primitive_color,low,291,0.8664261168384879,347.59000000000003,0.6735395189003437
local_graphics_and_nodes,line_and_arrow_details,route_shape,medium,116,0.48137931034482756,335.0199999999999,0.6896551724137931
text_and_typography,spelling_and_omission,math_symbol,high,62,0.42435483870967733,327.75,0.7903225806451613
text_and_typography,improper_typography,isolated_character_line,medium,101,0.5475247524752475,309.41999999999996,0.8514851485148515
text_and_typography,improper_typography,line_height,medium,89,0.723820224719101,298.53,0.797752808988764
text_and_typography,spelling_and_omission,special_glyph,high,49,0.5722448979591837,288.0,0.7551020408163265
local_graphics_and_nodes,node_style_error,node_border_width,low,228,0.9679385964912279,283.25,0.7192982456140351
layout_and_composition,panel_style_error,panel_border_pattern,low,222,0.9556306306306304,272.75,0.545045045045045
layout_and_composition,node_layout_deviation,node_distribution,medium,70,0.8012857142857143,245.26,0.8
local_graphics_and_nodes,vector_and_icon_confusion,raster_replacement,medium,63,0.8312698412698413,224.25,0.3492063492063492
text_and_typography,improper_typography,text_anchoring,medium,64,0.6421875,202.53999999999996,0.78125
layout_and_composition,node_layout_deviation,local_scale,medium,59,0.7520338983050845,201.38,0.864406779661017
local_graphics_and_nodes,vector_and_icon_confusion,primitive_fill,low,170,0.8104117647058824,197.98000000000002,0.6764705882352942
layout_and_composition,panel_misalignment,panel_size,medium,59,0.7013559322033898,197.25,0.711864406779661
local_graphics_and_nodes,line_and_arrow_details,wrong_target_attachment,high,35,0.38314285714285706,189.75,0.9714285714285714
local_graphics_and_nodes,line_and_arrow_details,connector_overlap_node,medium,66,0.4781818181818181,189.44999999999996,0.7727272727272727
local_graphics_and_nodes,line_and_arrow_details,connector_overlap_text,medium,73,0.3324657534246572,186.4699999999999,0.821917808219178
layout_and_composition,node_layout_deviation,nesting,high,28,0.6632142857142858,185.25,0.8214285714285714
local_graphics_and_nodes,node_shape_error,other_node_geometry,medium,64,0.4645312500000001,183.42,0.625
local_graphics_and_nodes,node_shape_error,missing_shape_primitive,high,29,0.6193103448275863,183.0,0.6551724137931034
text_and_typography,spelling_and_omission,superscript,high,30,0.554,180.75,0.8333333333333334
local_graphics_and_nodes,line_and_arrow_details,wrong_source_attachment,high,34,0.38823529411764707,180.0,0.9411764705882353
text_and_typography,spelling_and_omission,extra_text,high,39,0.2233333333333333,174.0,0.6923076923076923
layout_and_composition,panel_style_error,panel_separator_style,low,140,0.9807142857142858,174.0,0.6357142857142857
text_and_typography,improper_typography,text_orientation,medium,53,0.5467924528301887,158.29,0.5660377358490566
text_and_typography,text_overflow_or_edge_touch,cut_off_glyph,high,32,0.25656249999999997,156.0,0.84375
local_graphics_and_nodes,line_and_arrow_details,missing_connector,high,26,0.46807692307692306,150.75,0.9230769230769231
layout_and_composition,node_layout_deviation,node_alignment,medium,47,0.5714893617021276,148.89,0.8297872340425532
local_graphics_and_nodes,line_and_arrow_details,arrowhead_count,medium,51,0.504313725490196,145.56999999999994,0.8823529411764706
local_graphics_and_nodes,line_and_arrow_details,arrowhead_fill,low,120,0.8524166666666666,143.11,0.8
local_graphics_and_nodes,line_and_arrow_details,detached_endpoint,medium,46,0.5726086956521739,140.26999999999998,0.8913043478260869
layout_and_composition,panel_style_error,panel_border_width,low,110,0.9901818181818182,137.0,0.5909090909090909
local_graphics_and_nodes,node_style_error,node_color,low,112,0.8482142857142858,132.10000000000002,0.8482142857142857
layout_and_composition,node_layout_deviation,grouping,high,19,0.718421052631579,132.0,0.6842105263157895
local_graphics_and_nodes,vector_and_icon_confusion,primitive_pattern,low,111,0.8401801801801801,131.24,0.6306306306306306
local_graphics_and_nodes,node_shape_error,extra_shape_primitive,high,26,0.3369230769230768,129.0,0.6153846153846154
local_graphics_and_nodes,node_shape_error,notch_geometry,medium,37,0.7616216216216216,127.88,0.6216216216216216
local_graphics_and_nodes,line_and_arrow_details,wrong_port,high,23,0.42826086956521736,127.5,0.9565217391304348
local_graphics_and_nodes,vector_and_icon_confusion,raster_stretch,medium,34,0.8932352941176471,124.5,0.6470588235294118
local_graphics_and_nodes,line_and_arrow_details,other_connector,medium,41,0.5648780487804879,123.77999999999997,0.8536585365853658
text_and_typography,text_overflow_or_edge_touch,text_cell_overlap,high,23,0.3573913043478261,122.25,0.6521739130434783
layout_and_composition,panel_misalignment,conspicuous_blank_region,high,17,0.8135294117647058,120.0,0.8235294117647058
local_graphics_and_nodes,line_and_arrow_details,extra_connector,high,21,0.4304761904761905,117.75,0.8571428571428571
text_and_typography,text_overflow_or_edge_touch,text_truncation,high,23,0.2482608695652174,117.0,0.8260869565217391
local_graphics_and_nodes,vector_and_icon_confusion,extra_icon,medium,33,0.8284848484848485,115.13,0.5151515151515151
local_graphics_and_nodes,line_and_arrow_details,line_pattern,low,113,0.5623008849557523,114.42,0.5575221238938053
local_graphics_and_nodes,vector_and_icon_confusion,primitive_position,low,99,0.7681818181818182,112.84,0.8181818181818182
layout_and_composition,panel_misalignment,panel_overlap,high,18,0.5349999999999999,111.0,0.7777777777777778
layout_and_composition,node_layout_deviation,node_occlusion,high,21,0.37238095238095237,110.25,0.8571428571428571
text_and_typography,improper_typography,internal_padding,low,99,0.6905050505050504,108.45000000000002,0.8585858585858586
text_and_typography,spelling_and_omission,incorrect_identifier,high,24,0.17458333333333328,105.0,0.9583333333333334
local_graphics_and_nodes,vector_and_icon_confusion,grid_count,medium,30,0.7543333333333333,103.5,0.7
local_graphics_and_nodes,line_and_arrow_details,junction_dot,medium,30,0.7253333333333334,99.75999999999999,0.8333333333333334
local_graphics_and_nodes,node_style_error,node_border_pattern,low,87,0.7162068965517244,94.07,0.632183908045977
local_graphics_and_nodes,vector_and_icon_confusion,grid_dimensions,medium,26,0.8492307692307691,93.0,0.6538461538461539
local_graphics_and_nodes,vector_and_icon_confusion,cell_size,low,74,0.9201351351351352,90.25,0.7567567567567568
layout_and_composition,panel_misalignment,panel_alignment,medium,27,0.6714814814814816,89.25,0.7777777777777778
local_graphics_and_nodes,node_shape_error,node_orientation,medium,30,0.5213333333333334,87.75999999999999,0.5
text_and_typography,improper_typography,baseline,medium,25,0.706,81.77000000000001,0.96
text_and_typography,spelling_and_omission,greek_letter,high,14,0.43285714285714283,78.75,0.6428571428571429
layout_and_composition,panel_misalignment,separator_position,medium,21,0.9166666666666666,77.25,0.6190476190476191
local_graphics_and_nodes,line_and_arrow_details,bezier_curvature,medium,26,0.5142307692307692,76.89,0.9230769230769231
text_and_typography,improper_typography,font_style,low,68,0.7277941176470586,75.82999999999998,0.5294117647058824
local_graphics_and_nodes,line_and_arrow_details,bend_radius,medium,22,0.7263636363636363,75.38,0.36363636363636365
layout_and_composition,panel_misalignment,panel_position,medium,23,0.6673913043478261,74.25,0.9130434782608695
local_graphics_and_nodes,vector_and_icon_confusion,missing_icon,medium,21,0.8057142857142858,72.75,0.5238095238095238
text_and_typography,improper_typography,text_rotation,medium,24,0.49916666666666676,69.03,0.7916666666666666
layout_and_composition,panel_style_error,panel_title_tab,low,55,0.9649090909090909,68.0,0.4
local_graphics_and_nodes,vector_and_icon_confusion,cell_border,low,55,0.9505454545454546,67.75,0.5818181818181818
local_graphics_and_nodes,node_style_error,state_color,low,56,0.8210714285714286,65.37,0.6964285714285714
local_graphics_and_nodes,node_shape_error,node_skew,medium,22,0.49636363636363634,65.27000000000001,0.7727272727272727
local_graphics_and_nodes,line_and_arrow_details,dash_sequence,low,59,0.705762711864407,64.22999999999999,0.7796610169491526
layout_and_composition,panel_misalignment,panel_clipping,high,10,0.589,63.0,0.8
local_graphics_and_nodes,node_style_error,node_gradient,low,53,0.8460377358490566,62.61,0.5094339622641509
text_and_typography,spelling_and_omission,punctuation,low,89,0.1759550561797753,62.439999999999955,0.6629213483146067
text_and_typography,spelling_and_omission,incorrect_number,high,13,0.22000000000000003,60.75,0.9230769230769231
local_graphics_and_nodes,vector_and_icon_confusion,legend_mapping,medium,16,0.74625,57.0,0.875
text_and_typography,spelling_and_omission,capitalization,low,70,0.3267142857142857,56.969999999999956,0.5428571428571428
local_graphics_and_nodes,line_and_arrow_details,border_confusion,medium,19,0.5089473684210527,56.64,0.7368421052631579
text_and_typography,improper_typography,line_count,medium,18,0.5522222222222223,56.260000000000005,0.8888888888888888
local_graphics_and_nodes,vector_and_icon_confusion,rotated_icon,medium,16,0.7200000000000001,55.51,0.8125
layout_and_composition,node_layout_deviation,extra_node,high,12,0.23250000000000004,53.25,0.9166666666666666
local_graphics_and_nodes,line_and_arrow_details,arrowhead_endpoint,medium,18,0.4683333333333333,50.28,1.0
local_graphics_and_nodes,node_style_error,three_dimensional_treatment,low,42,0.809047619047619,48.24,0.8571428571428571
layout_and_composition,panel_style_error,panel_header_strip,low,40,0.9167500000000001,48.0,0.575
text_and_typography,text_overflow_or_edge_touch,other_text_fit,high,8,0.42500000000000004,47.25,1.0
layout_and_composition,panel_misalignment,canvas_aspect_ratio,medium,12,1.0,45.0,0.8333333333333334
local_graphics_and_nodes,node_shape_error,pointer_geometry,medium,13,0.7784615384615384,44.26,0.6153846153846154
local_graphics_and_nodes,vector_and_icon_confusion,raster_crop,medium,13,0.5938461538461538,43.5,0.9230769230769231
local_graphics_and_nodes,vector_and_icon_confusion,icon_state,medium,13,0.6953846153846153,42.0,0.6153846153846154
local_graphics_and_nodes,line_and_arrow_details,connector_direction,high,8,0.27875,41.25,0.875
text_and_typography,spelling_and_omission,other_text_content,high,9,0.2277777777777778,39.75,1.0
local_graphics_and_nodes,vector_and_icon_confusion,primitive_order,medium,12,0.5841666666666666,38.25,0.75
text_and_typography,improper_typography,other_typography,low,39,0.5146153846153846,38.09,0.5897435897435898
text_and_typography,spelling_and_omission,wrong_label_assignment,high,7,0.4757142857142857,37.5,0.7142857142857143
local_graphics_and_nodes,line_and_arrow_details,bend_location,medium,12,0.48249999999999993,35.269999999999996,0.9166666666666666
layout_and_composition,panel_misalignment,canvas_crop,medium,10,0.8699999999999999,35.25,1.0
local_graphics_and_nodes,node_shape_error,port_geometry,medium,10,0.8029999999999999,35.25,0.9
local_graphics_and_nodes,node_shape_error,folded_corner,medium,12,0.4000000000000001,33.0,0.4166666666666667
local_graphics_and_nodes,vector_and_icon_confusion,mirrored_icon,medium,9,0.7444444444444445,30.75,0.7777777777777778
layout_and_composition,panel_misalignment,extra_panel,high,5,0.5660000000000001,30.0,0.6
local_graphics_and_nodes,line_and_arrow_details,arrowhead_color,low,26,0.7746153846153845,29.75,0.6923076923076923
layout_and_composition,node_layout_deviation,missing_node,high,7,0.11857142857142859,28.5,0.8571428571428571
local_graphics_and_nodes,vector_and_icon_confusion,cell_spacing,low,21,0.9176190476190476,26.0,0.7619047619047619
local_graphics_and_nodes,line_and_arrow_details,loop_shape,medium,7,0.7299999999999999,22.509999999999998,0.8571428571428571
text_and_typography,improper_typography,word_spacing,low,23,0.5043478260869565,22.089999999999996,0.6521739130434783
text_and_typography,spelling_and_omission,duplicated_text,high,5,0.246,21.75,0.4
local_graphics_and_nodes,node_shape_error,node_rotation,medium,6,0.755,20.25,0.8333333333333334
local_graphics_and_nodes,line_and_arrow_details,intermediate_arrowhead,medium,8,0.29125,19.15,0.875
layout_and_composition,panel_style_error,panel_gradient,low,16,0.84375,18.75,0.5625
text_and_typography,spelling_and_omission,accent,low,21,0.32333333333333336,18.46,0.6190476190476191
local_graphics_and_nodes,line_and_arrow_details,connector_clipping,medium,7,0.3614285714285715,17.64,1.0
local_graphics_and_nodes,line_and_arrow_details,endpoint_side,medium,6,0.4533333333333333,16.88,1.0
local_graphics_and_nodes,line_and_arrow_details,parallel_spacing,low,14,0.7878571428571429,16.0,0.5714285714285714
layout_and_composition,panel_style_error,panel_clipping_mask,low,13,0.9230769230769231,15.75,0.6153846153846154
text_and_typography,spelling_and_omission,reordered_text,high,4,0.0975,15.75,1.0
local_graphics_and_nodes,node_shape_error,tail_geometry,medium,5,0.622,15.379999999999999,0.8
local_graphics_and_nodes,node_style_error,node_highlight,low,14,0.6799999999999999,15.239999999999998,0.7142857142857143
local_graphics_and_nodes,line_and_arrow_details,bidirectionality,high,2,0.9299999999999999,15.0,1.0
local_graphics_and_nodes,line_and_arrow_details,arrowhead_outline,low,12,0.8424999999999999,13.739999999999998,0.75
local_graphics_and_nodes,node_style_error,node_opacity,low,12,0.715,13.120000000000001,1.0
local_graphics_and_nodes,vector_and_icon_confusion,chart_series,medium,4,0.5325,12.75,1.0
layout_and_composition,node_layout_deviation,grid_arrangement,medium,3,1.0,11.25,0.6666666666666666
layout_and_composition,node_layout_deviation,local_mirroring,medium,3,1.0,11.25,1.0
local_graphics_and_nodes,node_shape_error,tab_geometry,medium,3,0.8966666666666666,11.25,1.0
text_and_typography,improper_typography,text_blur,low,9,0.9044444444444445,10.75,1.0
text_and_typography,improper_typography,letter_spacing,low,9,0.8288888888888889,10.62,0.5555555555555556
local_graphics_and_nodes,line_and_arrow_details,intersection_treatment,medium,4,0.34,10.509999999999998,1.0
layout_and_composition,panel_style_error,other_panel_style,low,9,0.8122222222222223,10.5,0.8888888888888888
local_graphics_and_nodes,line_and_arrow_details,arrowhead_angle,low,9,0.7488888888888889,10.25,0.8888888888888888
layout_and_composition,node_layout_deviation,z_order,medium,4,0.3325,9.76,0.25
local_graphics_and_nodes,node_style_error,node_hatch,low,7,1.0,8.75,0.42857142857142855
local_graphics_and_nodes,line_and_arrow_details,line_opacity,low,7,0.7157142857142856,7.62,0.7142857142857143
local_graphics_and_nodes,node_shape_error,cutout,medium,2,1.0,7.5,1.0
layout_and_composition,node_layout_deviation,other_node_layout,medium,2,1.0,7.5,0.5
local_graphics_and_nodes,vector_and_icon_confusion,raster_blur,low,6,0.9666666666666667,7.5,1.0
layout_and_composition,panel_misalignment,substituted_panel,high,1,1.0,7.5,1.0
local_graphics_and_nodes,vector_and_icon_confusion,vector_blur,low,6,1.0,7.5,0.8333333333333334
layout_and_composition,panel_misalignment,other_panel_layout,medium,2,0.75,6.75,1.0
local_graphics_and_nodes,node_style_error,style_consistency,low,5,0.9099999999999999,6.25,1.0
layout_and_composition,panel_misalignment,missing_panel,high,1,0.33,6.0,1.0
layout_and_composition,panel_style_error,panel_bevel,low,5,0.772,6.0,0.8
text_and_typography,improper_typography,text_contrast,medium,2,0.28,6.0,0.5
local_graphics_and_nodes,node_style_error,node_texture,low,5,0.812,5.62,0.2
local_graphics_and_nodes,line_and_arrow_details,dash_gap,low,6,0.35000000000000003,5.49,1.0
local_graphics_and_nodes,vector_and_icon_confusion,jagged_vector,low,4,0.9175,5.0,1.0
local_graphics_and_nodes,node_style_error,node_bevel,low,4,0.975,5.0,1.0
layout_and_composition,panel_style_error,panel_texture,low,4,0.625,4.25,0.75
local_graphics_and_nodes,line_and_arrow_details,bypass_shape,medium,1,1.0,3.75,1.0
layout_and_composition,panel_misalignment,canvas_orientation,medium,1,1.0,3.75,1.0
local_graphics_and_nodes,line_and_arrow_details,crossing_bridge,medium,1,1.0,3.75,1.0
local_graphics_and_nodes,node_style_error,other_node_style,low,3,0.9033333333333333,3.75,1.0
local_graphics_and_nodes,line_and_arrow_details,split_merge_marker,medium,1,1.0,3.75,1.0
local_graphics_and_nodes,line_and_arrow_details,line_cap,low,3,0.64,3.5,1.0
local_graphics_and_nodes,vector_and_icon_confusion,cell_alignment,low,2,0.9,2.5,1.0
local_graphics_and_nodes,node_style_error,node_transparency,low,2,1.0,2.5,1.0
layout_and_composition,node_layout_deviation,local_rotation,medium,1,0.2,2.25,1.0
local_graphics_and_nodes,line_and_arrow_details,bend_count,medium,1,0.04,1.88,1.0
local_graphics_and_nodes,node_style_error,internal_z_order,low,1,1.0,1.25,1.0
local_graphics_and_nodes,line_and_arrow_details,line_blur,low,1,1.0,1.25,1.0
text_and_typography,improper_typography,kerning,low,1,0.27,1.0,1.0
text_and_typography,improper_typography,text_aliasing,low,1,0.3,1.0,1.0
text_and_typography,improper_typography,hyphenation,low,1,0.24,0.75,1.0
local_graphics_and_nodes,node_shadow_error,hard_vs_soft_shadow,diagnostic,9,0.8733333333333334,0.0,0.7777777777777778
local_graphics_and_nodes,line_and_arrow_details,line_shadow,diagnostic,7,0.8642857142857142,0.0,1.0
layout_and_composition,panel_style_error,panel_shadow,diagnostic,152,0.9990789473684212,0.0,0.8881578947368421
local_graphics_and_nodes,node_shadow_error,shadow_opacity,diagnostic,3,1.0,0.0,1.0
local_graphics_and_nodes,node_shadow_error,shadow_presence,diagnostic,570,0.9952807017543857,0.0,0.8333333333333334
